Musikquizzen, sendesPå, p4
USA, erI, handelskrig
StyggeKrumpen, varDen, sidsteKatolskeBiskop
mennesker, såretI, Libanon
BirteOhsten, er, død
UllaT, er, FuldtBookede
LeneGundahlSørensen, erByPlanArkitektI, Arkitema
lysene, fremstilletAf, økologiskBomuldsvæge
Luxembourg, harGratis, kollektiveTrafik
PnBeslag, harEt, forStortHoved
AalborgKommune, harKonstateretFejlI, SagerOmFødevareallergi
JesperHøstgaard-Jensen, er, vicedirektør
Volvo, erIGangMed, kinesiskProduktion
Maxus, kommerFra, LDV
Zoo, erEtBesøgVærdI, Juletiden
privateP-selskaber, måIgnorere, højesteretsdomme
TestcenterDanmark, bemandet, medicinstuderende
EnElbilskommission, vilFremlæggeEnAnbefalingOm, hvorvidtAfgiftenBørStige
HjerdemålKirke, besatAf, aktivister
specialklasser, fårEnAfgangseksamen, Frederikshavn
Danskere, erKendtFor, ironi
MartinKelkelund, erPraktiserendeNeurologI, Brønderslev
regionspolitikere, forvalter, skatteborgernesPenge
treProcentAfNordjyskeMænd, serSigSelvSom, Troende
CasperSøgaard, erKræfterneBag, ErlingsJazz
